Time Step,Simulated Decay,Theoretical Decay
657,874,882.279048462352
658,874,882.1108716341315
659,874,881.9427268631672
660,874,881.7746141433486
661,873,881.6065334685661
662,873,881.4384848327114
663,873,881.2704682296776
664,873,881.1024836533583
665,873,880.934531097649
666,872,880.766610556446
667,872,880.5987220236466
668,872,880.4308654931499
669,872,880.2630409588552
670,872,880.095248414664
671,872,879.9274878544779
672,871,879.7597592722009
673,871,879.5920626617369
674,871,879.424398016992
675,870,879.2567653318728
676,870,879.0891646002872
677,870,878.9215958161444
678,870,878.7540589733546
679,870,878.5865540658295
680,870,878.4190810874817
681,870,878.2516400322247
682,870,878.0842308939735
683,870,877.9168536666444
684,870,877.7495083441546
685,870,877.5821949204224
686,870,877.4149133893674
687,870,877.2476637449104
688,870,877.0804459809732
689,870,876.913260091479
690,870,876.7461060703519
691,870,876.5789839115172
692,869,876.4118936089016
693,869,876.2448351564327
694,869,876.0778085480395
695,869,875.9108137776515
696,869,875.7438508392004
697,869,875.5769197266183
698,869,875.4100204338386
699,869,875.243152954796
700,869,875.0763172834262
701,868,874.9095134136663
702,868,874.7427413394543
703,868,874.5760010547294
704,867,874.4092925534321
705,867,874.2426158295041
706,867,874.0759708768876
707,867,873.9093576895269
708,867,873.7427762613671
709,867,873.576226586354
710,866,873.4097086584352
711,866,873.2432224715591
712,866,873.0767680196753
713,866,872.9103452967347
714,866,872.7439542966891
715,865,872.5775950134919
716,865,872.411267441097
717,864,872.2449715734598
718,864,872.0787074045371
719,864,871.9124749282865
720,863,871.7462741386669
721,863,871.5801050296382
722,863,871.4139675951616
723,863,871.2478618291995
724,863,871.0817877257151
725,863,870.9157452786734
726,863,870.7497344820399
727,863,870.5837553297816
728,863,870.4178078158666
729,863,870.251891934264
730,862,870.0860076789443
731,862,869.9201550438788
732,861,869.7543340230403
733,861,869.5885446104028
734,861,869.422786799941
735,861,869.257060585631
736,860,869.0913659614502
737,860,868.9257029213769
738,860,868.7600714593908
739,860,868.5944715694725
740,860,868.4289032456037
741,859,868.2633664817677
742,859,868.0978612719482
743,858,867.932387610131
744,858,867.7669454903022
745,858,867.6015349064495
